"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Rodriguez-Fernandez I.C.; Jurado-Vera S.Y.; Ramos-Cavero M.J.; Cordova-Buiza F.","Rodriguez-Fernandez, Indira Cristel (60633145500); Jurado-Vera, Shirley Yarixa (60633594200); Ramos-Cavero, María Jeanett (57577480500); Cordova-Buiza, Franklin (57209246487)","60633145500; 60633594200; 57577480500; 57209246487","Digital Transformation and Operational Efficiency in Fast-Moving Consumer Goods Companies: A Systematic Review of Industry 4.0 Applications","2026","International Journal of Sustainable Development and Planning","21","1","","51","60","0","10.18280/ijsdp.210105","https://www.scopus.com/pages/publications/105039077842?origin=resultslist","Today, technology plays a crucial role in the growth and competitiveness of companies, enabling improvements in operational efficiency and process optimization within dynamic business environments. This systematic review aims to examine the influence of digitization and the implementation of advanced technologies on operational efficiency in fast-moving consumer goods (FMCG) companies, based on empirical studies published between 2019 and 2024. The review followed the PRISMA 2020 guidelines, identifying and analyzing 25 empirical studies from the Scopus database, selected according to relevance, timeliness, and methodological rigor. The findings reveal a growing trend toward the adoption of advanced technologies: approximately 60% of the studies address the use of artificial intelligence (AI) to enhance decision-making and production planning, 40% focus on automation to improve efficiency and reduce operational costs, and nearly 24% explore computer vision applications for quality control and inventory management. Despite the benefits, the implementation of these innovations presents challenges, such as the need to adapt to organizational change and invest in infrastructure and employee training. Nevertheless, digitization and automation emerge as key drivers for improving performance and strengthening the market position of consumer goods companies. In conclusion, the results suggest that organizations should develop comprehensive and sustainable digital strategies that promote the effective adoption of advanced technologies, ensuring operational efficiency aligned with the principles of sustainable development and the United Nations Sustainable Development Goals (SDGs), particularly Goal 8 (Decent Work and Economic Growth), Goal 9 (Industry, Innovation and Infrastructure), and Goal 12 (Responsible Consumption and Production). ©2026 The authors. This article is published by IIETA and is licensed under the CC BY 4.0 license (http://creativecommons.org/licenses/by/4.0/).","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-105039077842"
"Sehrawat O.; Noseworthy P.A.; Siontis K.C.; Haddad T.C.; Halamka J.D.; Liu H.","Sehrawat, Ojasav (57223140143); Noseworthy, Peter A. (6506572738); Siontis, Konstantinos C. (35747415300); Haddad, Tufia C. (14622390000); Halamka, John D. (6701836991); Liu, Hongfang (7409753328)","57223140143; 6506572738; 35747415300; 14622390000; 6701836991; 7409753328","Data-Driven and Technology-Enabled Trial Innovations Toward Decentralization of Clinical Trials: Opportunities and Considerations","2023","Mayo Clinic Proceedings","98","9","","1404","1421","19","10.1016/j.mayocp.2023.02.003","https://www.scopus.com/pages/publications/85169505108?origin=resultslist","Traditional trial designs have well-recognized inefficiencies and logistical barriers to participation. Decentralized trials and digital health solutions have been suggested as potential solutions and have certainly risen to the challenge during the pandemic. Clinical trial designs are now increasingly data driven. The use of distributed clinical data networks and digitization has helped to fundamentally upgrade existing research systems. A trial design may vary anywhere from fully decentralized to hybrid to traditional on-site. Various decentralization components are available for stakeholders to increase the reach and pace of their trials, such as electronic informed consent, remote interviews, administration, outcome assessment, monitoring, and laboratory and imaging modalities. Furthermore, digital health technologies can be included to enrich study conduct. However, careful consideration is warranted, including assessing verification and validity through usability studies and having various contingencies in place through dedicated risk assessment. Selecting the right combination depends not just on the ability to handle patient care and the medical know-how but also on the availability of appropriate technologic infrastructure, skills, and human resources. Throughout this process, quality of evidence generation and physician-patient relation must not be undermined. Here we also address some knowledge gaps, cost considerations, and potential impact of decentralization and digitization on inclusivity, recruitment, engagement, and retention. Last, we mention some future directions that may help drive the necessary change in the right direction. © 2023 Mayo Foundation for Medical Education and Research","Review","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85169505108"
"Slater G.B.","Slater, Graham B. (56091508500)","56091508500","Dread and the automation of education: From algorithmic anxiety to a new sensibility","2024","Review of Education, Pedagogy, and Cultural Studies","46","1","","170","182","6","10.1080/10714413.2023.2299521","https://www.scopus.com/pages/publications/85181246382?origin=resultslist","Accelerating digitization, algorithmic computation, artificial intelligence, and machine learning, along with the increasing automation of work, communication, and everyday life, are central to critical studies of technology and political economy, as well as to public discourse concerning technology’s role in creating futures. Ongoing transformations in technological capacity have also been scrutinized for their impact on experience, emotion, and culture. Building on David Theo Goldberg’s assertion that “tracking capitalism” creates pervasive dread, this article explores how the digital automation of education, specifically, generates forms of algorithmic anxiety that impact teaching and learning, constraining pedagogical visions of alternative futures. Algorithmic anxiety in education contributes to dread’s proliferation. If dread is the “driving social sensibility” today, and algorithmic anxiety a pedagogical vector of its spread, then a less dreadful education should center an imaginative struggle for new sensibilities. © 2024 Taylor & Francis Group, LLC.","Article","Final","","Scopus","2-s2.0-85181246382"
"Makri M.H.; Amiruddin M.I.; Bohro M.N.; Mokhti M.A.; Mohamed Q.; Noh N.M.; Kereshanan M.; Rashid K.A.; Ting S.; Cheng C.; Panwar N.; Armani A.; Malek R.","Makri, M.H. (57203500549); Amiruddin, M.I. (58151488600); Bohro, M.N. (59305213600); Mokhti, M.A. (57191675680); Mohamed, Q. (59306162500); Noh, N. Mat (57321619500); Kereshanan, M. (57321860700); Rashid, K. Abdul (57197993684); Ting, S. (58305866100); Cheng, C. (58696612600); Panwar, N. (58171787200); Armani, A. (58915622000); Malek, R. (59668653000)","57203500549; 58151488600; 59305213600; 57191675680; 59306162500; 57321619500; 57321860700; 57197993684; 58305866100; 58696612600; 58171787200; 58915622000; 59668653000","Scale-Up Journey on Advanced Rig Mechanized Automation (RMA) for Autonomous Drilling Operation in Offshore Peninsula Malaysia","2025","International Petroleum Technology Conference, IPTC 2025","","","","","","0","10.2523/IPTC-24680-MS","https://www.scopus.com/pages/publications/86000016171?origin=resultslist","In 2022, a groundbreaking initiative marked the world's first integration of three automation systems on an International Jack Up rig provider, kickstarting a 10-well campaign. Based on the result from the 10 wells campaign, it has been viewed as extremely successful which led the way for upscaling subsequently in 2023 on a locally owned Jack Up rig in Malaysia. The key objectives encompass replicating the high performance attained with international jack up rigs onto local rigs. This expansion aims to elevate the utilization of automation platforms, ensure operational consistency, bolster efficiency, shorten delivery times, mitigate well risks, and ultimately lead to both cost, schedule & carbon emission reduction to the lowest possible. The rig automation strategy brought together three systems: the Intelligent Rig Control System, an on-bottom drilling system and a protection system. The Intelligent Rig Control System enables off-bottom automation workflows and integration of additional systems. The on-bottom drilling system focuses on Rate of Penetration (ROP) optimization using advanced Artificial Intelligence (AI) models, shock and vibration mitigation and closed loop control of directional drilling with automated flow and RPM downlinking, while another third-party solution ensures dynamic safety limits through real-time data analysis of the drill-a-stand workflow. This implementation brought together three systems in Field B, Offshore West Malaysia, on the First Malaysian's Local Jack-Up rig. The main challenge replicating Rig Mechanized Automation (RMA) on the different types of rig control system lies in ensuring stable integration of automated systems, addressed through System Integration Test (SIT) and System Acceptance Test (SAT). Facilitating crew adjustment required the sequential deployment of these systems in different hole sections. Comprehensive training and support on-site by Third Party Rig Performance Consultant (RPC) and Field Deployment Engineer (FDE) during the Hypercare program, were crucial for user proficiency. The successful ground deployment commenced with drilling the 12-1/4"" section in Well #1, followed by the 8-1/2"" section where there was controlled on-bottom drilling with the computing automatic protection. Full automation was employed for the remaining three wells, including a trial to automate the 13-3/8"" directional Casing While Drilling (CWD). This was successfully achieved in the 3rd and 4th wells, marking the world's first 13-3/8"" directional CWD automated drilling."" Driller acceptance, measured by more than 80% utilization throughout the campaign, was positive due to feedback on eliminating rapid human responses during challenging scenarios. Autonomous Directional Drilling (ADD) delivered 98.5% closed loop control in the 12-1/4"" section and 97% in the 8-1/2"" section accounting for 6338ft of footage drilled. The team focused on critical tasks with autonomous drilling operations like monitoring hole cleaning and stuck pipe trends. The deployment of autonomous drilling operations has been seamless, challenging, and rewarding, unlocking new success stories like World First Autonomous Directional Drilling and Directional Casing While Drilling on a local rig, signaling a significant shift toward global automation and digitization in drilling operations. Copyright 2025, International Petroleum Technology Conference.","Conference paper","Final","","Scopus","2-s2.0-86000016171"
"Ayyad K.; Radwan A.F.","Ayyad, Khayrat (57223293776); Radwan, Ahmed F. (57212101547)","57223293776; 57212101547","NCTs and AI in the digital transformation of UAE’s media","2025","Journal of Digital Media and Policy","16","2","","151","173","1","10.1386/jdmp_00176_1","https://www.scopus.com/pages/publications/105007616463?origin=resultslist","This study’s research looks at how ready media institutions in the United Arab Emirates (UAE) are to adopt and use new communication challenges (NCTs) like artificial intelligence (AI) and what the implications are for content production, digitization of work environment and professional practices. The study integrates the unified theory of acceptance and use of technology (UTAUT) adopting both quantitative and qualitative methods. It uses in-depth interviews with five directors of digital divisions in UAE media institutions and a questionnaire sampling 40 journalists in UAE media institutions. Findings indicate UAE newsrooms use AI and NCTs effectively, bringing innovation to news production and new tools allowing greater interaction and engagement with audiences and use of infographics for storytelling. The new technologies also allow for the dissemination of news to large audiences, nationally and globally, whilst facilitating the automation of some content production processes. Findings also identified more progress is needed to ensure UAE media institutions successfully integrate the new technologies and for their staff to be qualified to use them. © 2025 Intellect Ltd.","Article","Final","","Scopus","2-s2.0-105007616463"
"Innes C.J.; Innes J.M.; Morrison B.W.","Innes, Callum J. (59491230600); Innes, J. Michael (57193917288); Morrison, Ben W. (35867834000)","59491230600; 57193917288; 35867834000","Social representation of the profession of psychology and the application of artificial intelligence: European Union regulatory authority and the application of psychology as a paradigm for the future","2022","Australian and New Zealand Journal of European Studies","14","1","","2","17","3","10.30722/anzjes.vol14.iss1.15852","https://www.scopus.com/pages/publications/85192159267?origin=resultslist","The digitisation of work affects thinking with respect to who will work, what work will entail and how governments will control change. The development of artificial intelligence (AI) is recognized as a threat and as a facilitator of change. The European Union leads in the development of regulatory power in the area. We examine these regulations and how they may affect the application of AI to work, especially with respect to psychology. Psychology is a profession universally conceived in the recent past to be immune from the predations of automation due to the level of cognitive and emotional skills believed to underly competence. The image or social representation of the discipline/profession plays a role in how the discipline is perceived and understood and how it is placed within the predicted matrix of jobs under threat. We demonstrate that psychology may not be immune in the context of a contemporary social representation. Regulatory practices in training and employment put psychology under threat as a “safe” profession. Europe has regulated and commodified the practice and training of psychology and hence has magnified the threat of replacement of those practices by AI. Governments and the professions need to be mindful of these consequences. © 2022 Australian and New Zealand Journal of European Studies.","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85192159267"
"Vismanis O.; Arents J.; Freivalds K.; Ahluwalia V.; Ozols K.","Vismanis, Oskars (57226314938); Arents, Janis (57207980216); Freivalds, Karlis (8537440500); Ahluwalia, Vaibhav (58487611900); Ozols, Kaspars (57208987064)","57226314938; 57207980216; 8537440500; 58487611900; 57208987064","Robotic System for Post Office Package Handling","2023","Applied Sciences (Switzerland)","13","13","7643","","","11","10.3390/app13137643","https://www.scopus.com/pages/publications/85164815553?origin=resultslist","Parcel sorting is becoming a significant challenge for delivery distribution centers and is mostly automated by using high-throughput sorting machinery, but manual work is still used to feed these machines by placing the parcels on the conveyor belt. In this paper, an AI-based robotic solution that automates the parcel placement task was developed. The architecture of the proposed system along with methods on how to implement it are described by using the currently available hardware and software components. The described choices lead to a well-functioning system and the gained insights will facilitate building similar systems for parcel delivery automation. © 2023 by the authors.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85164815553"
"Wagner D.N.","Wagner, Dirk Nicolas (57210435350)","57210435350","Achieving CSR with Artificially Intelligent Nudging","2023","CSR, Sustainability, Ethics and Governance","","","","279","294","3","10.1007/978-3-031-09245-9_15","https://www.scopus.com/pages/publications/85152413687?origin=resultslist","No longer limited to the factory hall, automation and digitization increasingly change, complement, and replace the human workplace also in the sphere of knowledge work. Technology offers the possibility of creating economically rational, autonomously acting software—the machina economica. This complements human beings who are far from being a rational homo economicus and whose behavior is biased and prone to errors. This includes behaviors that lack responsibility and sustainability. Insights from behavioral economics suggest that in the modern workplace, humans who team up with a variety of digital assistants can improve their decision-making to achieve more corporate social responsibility. Equipped with artificial intelligence (AI), machina economica can nudge human behavior to arrive at more desirable outcomes. Following the idea of augmented human-centered management (AHCM), this chapter outlines underlying mechanisms, opportunities, and threats of AI-based digital nudging. © 2023, The Author(s), under exclusive license to Springer Nature Switzerland AG.","Book chapter","Final","","Scopus","2-s2.0-85152413687"
"Kvalnes Ø.","Kvalnes, Øyvind (54917490600)","54917490600","Moral Reasoning at Work: Rethinking Ethics in Organizations, Second Edition","2019","Moral Reasoning at Work: Rethinking Ethics in Organizations, Second Edition","","","","1","145","2","10.1007/9783030151911","https://www.scopus.com/pages/publications/105009200798?origin=resultslist","This book is open access under a CC-BY license. Moral dilemmas are a pervasive feature of working life. Moral Reasoning at Work offers a fresh perspective on how to live with them using ethics and moral psychology research. It argues that decision-makers must go beyond compliance and traditional approaches to ethics to prepare for moral dilemmas. The second edition has been updated with a range of examples from the author’s more recent research, to reflect  current issues affecting organizations in the digital age. With two new chapters on artificial intelligence and social media, this new edition provides an up-to-date overview of ethical challenges in organizations. © The Editor(s) (if applicable) and The Author(s) 2019 This book is an open access publication.","Book","Final","","Scopus","2-s2.0-105009200798"
"Kozák Š.; Ružický E.; Lacko J.; Kozáková A.","Kozák, Štefan (7007128459); Ružický, Eugen (6506017418); Lacko, Ján (37011248900); Kozáková, Alena (15725826000)","7007128459; 6506017418; 37011248900; 15725826000","From Industry 4.0 to Industry 5.0: Current Trends in Research and Education for Industry 5.0","2025","Proceedings of the International Conference on Cybernetics and Informatics, K and I","","2025","","","","3","10.1109/KI64036.2025.10916453","https://www.scopus.com/pages/publications/105011816368?origin=resultslist","Over the last decade, the world has seen significant technological changes characterized by complex digitization of technical and non-technical processes. All industrial revolutions to date have represented significant milestones in our lives triggering significant changes towards improvement of the quality of life, increasing safety, reliability and comfort. The current state-of-the-art in the development and modernization of industrial production has its roots in the Fourth Industrial Revolution which has enabled the digitization and transformation of production based on modern automatic control methods, advanced IoT technologies and new platforms for the organization and management of production built on cyber-physical principles. Industry 5.0 - the forthcoming industrial revolution is purposefully building on the direction and results achieved and continues the set trends and aims to achieve further goals to optimize and improve conditions in people's professional and personal lives. Industry 5.0 can be defined as the next phase of industrialization in which people and advanced technologies work together in harmony to increase productivity, innovation and sustainability. Unlike its predecessor Industry 4.0 which focused on complex automation, Industry 5.0 puts more emphasis on humans, ensuring that technology serves people rather than replacing them. Such an understanding of new directions in complex digitization of processes requires the creation of new ways and forms of education in the near future, with an emphasis put on nurturing graduates with a higher level of skills and creativity. The new industrial revolution Industry 5.0 must therefore be based on new paradigms based on interdisciplinarity in education to ensure a high degree of long-term sustainability. This paper proposes novel forms and ways of research and education in line with the requirements and trends declared in the industry 5.0 concept. © 2025 IEEE.","Conference paper","Final","","Scopus","2-s2.0-105011816368"
